,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,target
86,3,1,0,0,2,2,3,2,2,2,1,1,3,2,1,2,0,1,0
87,3,1,1,0,2,2,0,0,2,2,1,1,3,2,1,2,0,1,0
88,2,1,1,3,2,1,2,0,1,2,1,1,0,2,3,1,1,2,1
89,2,1,1,3,2,1,2,0,1,3,2,1,1,2,1,1,1,2,1
90,2,1,1,3,2,1,2,0,1,2,0,1,0,2,3,0,0,2,0
91,2,1,1,0,2,3,1,1,2,3,2,1,1,2,1,1,1,2,1
92,2,1,1,0,2,3,1,1,2,2,0,1,0,2,3,0,0,2,0
93,3,2,1,1,2,1,1,1,2,2,0,1,0,2,3,0,0,2,0
94,2,0,1,0,2,3,0,0,2,2,0,1,0,2,2,3,1,2,1
95,2,0,1,0,2,3,0,0,2,1,4,1,3,0,2,0,0,2,1
96,2,0,1,0,2,3,0,0,2,1,1,1,2,2,2,1,0,2,0
97,2,0,1,0,2,2,3,1,2,1,4,1,3,0,2,0,0,2,1
98,2,0,1,0,2,2,3,1,2,1,1,1,2,2,2,1,0,2,0
99,1,4,1,3,0,2,0,0,2,1,1,1,2,2,2,1,0,2,0
100,1,1,1,2,2,2,1,0,2,3,4,1,0,2,2,1,1,2,1
101,1,1,1,2,2,2,1,0,2,3,1,1,0,2,1,1,3,2,1
102,1,1,1,2,2,2,1,0,2,1,2,1,3,2,2,1,3,2,0
103,3,4,1,0,2,2,1,1,2,3,1,1,0,2,1,1,3,2,1
104,3,4,1,0,2,2,1,1,2,1,2,1,3,2,2,1,3,2,0
105,3,1,1,0,2,1,1,3,2,1,2,1,3,2,2,1,3,2,0
106,1,2,1,3,2,2,1,3,2,3,2,1,2,2,2,0,1,1,1
107,1,2,1,3,2,2,1,3,2,2,1,1,3,2,2,3,2,1,0
108,3,2,1,2,2,2,0,1,1,2,1,1,3,2,2,3,2,1,0
109,2,1,1,3,2,2,3,2,1,3,4,1,3,2,2,3,4,2,1
110,2,1,1,3,2,2,3,2,1,3,4,1,1,2,1,1,3,2,1
111,2,1,1,3,2,2,3,2,1,2,4,1,0,2,3,0,1,2,0
112,3,4,1,3,2,2,3,4,2,3,4,1,1,2,1,1,3,2,1
113,3,4,1,3,2,2,3,4,2,2,4,1,0,2,3,0,1,2,0
114,3,4,1,1,2,1,1,3,2,2,4,1,0,2,3,0,1,2,0
115,2,4,1,0,2,3,0,1,2,2,1,1,3,2,1,0,3,2,1
116,2,4,1,0,2,3,0,1,2,0,1,1,3,2,2,1,2,1,1
117,2,4,1,0,2,3,0,1,2,3,0,1,0,2,3,1,2,2,0
118,2,1,1,3,2,1,0,3,2,0,1,1,3,2,2,1,2,1,1
119,2,1,1,3,2,1,0,3,2,3,0,1,0,2,3,1,2,2,0
120,0,1,1,3,2,2,1,2,1,3,0,1,0,2,3,1,2,2,0
121,3,0,1,0,2,3,1,2,2,1,4,1,1,2,1,0,3,2,1
122,3,0,1,0,2,3,1,2,2,1,0,1,1,2,1,0,3,2,1
123,3,0,1,0,2,3,1,2,2,1,0,0,2,2,3,1,3,2,0
124,1,4,1,1,2,1,0,3,2,1,0,1,1,2,1,0,3,2,1
125,1,4,1,1,2,1,0,3,2,1,0,0,2,2,3,1,3,2,0
126,1,0,1,1,2,1,0,3,2,1,0,0,2,2,3,1,3,2,0
127,1,0,0,2,2,3,1,3,2,1,1,0,2,2,2,1,0,2,0
128,1,1,0,2,2,2,1,0,2,0,1,1,0,0,2,0,2,2,0
129,0,1,1,0,0,2,0,2,2,2,4,1,3,0,3,1,4,1,0
130,2,4,1,3,0,3,1,4,1,1,1,0,0,0,2,2,0,1,1
131,2,4,1,3,0,3,1,4,1,3,0,1,0,2,1,0,4,2,0
132,1,1,0,0,0,2,2,0,1,3,0,1,0,2,1,0,4,2,0
133,3,0,1,0,2,1,0,4,2,1,1,1,1,0,1,0,2,1,1
134,3,0,1,0,2,1,0,4,2,3,1,0,2,2,2,3,3,2,1
135,3,0,1,0,2,1,0,4,2,3,1,1,1,2,1,0,1,2,0
136,1,1,1,1,0,1,0,2,1,3,1,0,2,2,2,3,3,2,1
137,1,1,1,1,0,1,0,2,1,3,1,1,1,2,1,0,1,2,0
138,3,1,0,2,2,2,3,3,2,3,1,1,1,2,1,0,1,2,0
139,3,1,1,1,2,1,0,1,2,0,1,1,3,2,2,3,1,2,1
140,3,1,1,1,2,1,0,1,2,3,2,1,0,1,2,1,3,2,0
141,0,1,1,3,2,2,3,1,2,3,2,1,0,1,2,1,3,2,0
142,3,2,1,0,1,2,1,3,2,2,1,1,3,2,1,1,4,2,1
143,3,2,1,0,1,2,1,3,2,2,0,1,0,1,1,0,2,2,1
144,3,2,1,0,1,2,1,3,2,1,2,0,0,2,2,0,3,2,0
145,2,1,1,3,2,1,1,4,2,2,0,1,0,1,1,0,2,2,1
146,2,1,1,3,2,1,1,4,2,1,2,0,0,2,2,0,3,2,0
147,2,0,1,0,1,1,0,2,2,1,2,0,0,2,2,0,3,2,0
148,1,2,0,0,2,2,0,3,2,1,1,1,1,3,2,1,3,2,1
149,1,2,0,0,2,2,0,3,2,1,0,1,0,2,2,1,2,2,1
150,1,2,0,0,2,2,0,3,2,3,4,1,1,2,3,1,3,2,0
151,1,1,1,1,3,2,1,3,2,1,0,1,0,2,2,1,2,2,1
152,1,1,1,1,3,2,1,3,2,3,4,1,1,2,3,1,3,2,0
153,1,0,1,0,2,2,1,2,2,3,4,1,1,2,3,1,3,2,0
154,3,4,1,1,2,3,1,3,2,2,1,1,3,1,2,0,2,2,0
155,2,1,1,3,1,2,0,2,2,2,1,1,1,2,1,1,2,1,1
156,2,1,1,3,1,2,0,2,2,1,2,1,1,2,3,0,1,2,1
157,2,1,1,3,1,2,0,2,2,2,1,1,4,2,1,0,4,2,0
158,2,1,1,1,2,1,1,2,1,1,2,1,1,2,3,0,1,2,1
159,2,1,1,1,2,1,1,2,1,2,1,1,4,2,1,0,4,2,0
160,1,2,1,1,2,3,0,1,2,2,1,1,4,2,1,0,4,2,0
161,2,1,1,4,2,1,0,4,2,3,1,1,0,2,3,1,4,2,1
162,2,1,1,4,2,1,0,4,2,1,0,0,1,0,1,3,2,2,1
163,2,1,1,4,2,1,0,4,2,3,2,1,3,2,3,0,3,2,0
164,3,1,1,0,2,3,1,4,2,1,0,0,1,0,1,3,2,2,1
165,3,1,1,0,2,3,1,4,2,3,2,1,3,2,3,0,3,2,0
166,1,0,0,1,0,1,3,2,2,3,2,1,3,2,3,0,3,2,0
167,3,2,1,3,2,3,0,3,2,1,4,1,0,0,2,1,1,1,1
168,3,2,1,3,2,3,0,3,2,1,1,1,1,2,1,0,1,2,1
169,3,2,1,3,2,3,0,3,2,3,4,1,1,2,3,2,3,2,0
170,1,4,1,0,0,2,1,1,1,1,1,1,1,2,1,0,1,2,1
171,1,4,1,0,0,2,1,1,1,3,4,1,1,2,3,2,3,2,0
172,1,1,1,1,2,1,0,1,2,3,4,1,1,2,3,2,3,2,0
173,3,4,1,1,2,3,2,3,2,2,1,0,0,0,2,2,3,2,1
174,3,4,1,1,2,3,2,3,2,0,2,1,1,0,2,0,1,1,1
175,3,4,1,1,2,3,2,3,2,0,2,1,0,1,2,1,2,2,0
176,2,1,0,0,0,2,2,3,2,0,2,1,1,0,2,0,1,1,1
177,2,1,0,0,0,2,2,3,2,0,2,1,0,1,2,1,2,2,0
178,0,2,1,1,0,2,0,1,1,0,2,1,0,1,2,1,2,2,0
179,0,2,1,0,1,2,1,2,2,2,1,1,0,2,2,0,2,2,0
180,2,1,1,0,2,2,0,2,2,3,2,1,0,2,2,3,0,2,1
181,2,1,1,0,2,2,0,2,2,0,0,1,1,2,2,1,1,2,0
182,3,2,1,0,2,2,3,0,2,0,0,1,1,2,2,1,1,2,0
183,0,0,1,1,2,2,1,1,2,1,1,1,1,2,1,0,1,1,1
184,0,0,1,1,2,2,1,1,2,1,1,1,0,2,2,3,0,2,1
185,0,0,1,1,2,2,1,1,2,0,2,1,0,2,2,0,1,2,0
186,1,1,1,1,2,1,0,1,1,1,1,1,0,2,2,3,0,2,1
187,1,1,1,1,2,1,0,1,1,0,2,1,0,2,2,0,1,2,0
188,1,1,1,0,2,2,3,0,2,0,2,1,0,2,2,0,1,2,0
189,0,2,1,0,2,2,0,1,2,2,1,1,3,0,2,0,2,1,1
190,0,2,1,0,2,2,0,1,2,0,4,0,3,0,1,1,2,1,1
191,0,2,1,0,2,2,0,1,2,2,4,1,3,2,2,0,3,2,0
192,2,1,1,3,0,2,0,2,1,0,4,0,3,0,1,1,2,1,1
193,2,1,1,3,0,2,0,2,1,2,4,1,3,2,2,0,3,2,0
194,0,4,0,3,0,1,1,2,1,2,4,1,3,2,2,0,3,2,0
195,2,4,1,3,2,2,0,3,2,3,1,2,4,3,2,0,2,2,1
196,2,4,1,3,2,2,0,3,2,2,1,1,0,2,2,0,4,2,0
197,3,1,2,4,3,2,0,2,2,2,1,1,0,2,2,0,4,2,0
198,2,1,1,0,2,2,0,4,2,1,1,1,0,2,2,1,2,2,1
199,2,1,1,0,2,2,0,4,2,3,1,1,3,2,2,0,1,2,1
200,2,1,1,0,2,2,0,4,2,3,0,1,3,0,2,1,2,2,0
201,1,1,1,0,2,2,1,2,2,3,1,1,3,2,2,0,1,2,1
202,1,1,1,0,2,2,1,2,2,3,0,1,3,0,2,1,2,2,0
203,3,1,1,3,2,2,0,1,2,3,0,1,3,0,2,1,2,2,0
204,3,0,1,3,0,2,1,2,2,3,1,0,2,2,3,2,2,2,1
205,3,0,1,3,0,2,1,2,2,3,0,1,0,1,3,1,1,2,0
206,3,1,0,2,2,3,2,2,2,3,0,1,0,1,3,1,1,2,0
207,3,0,1,0,1,3,1,1,2,1,1,1,3,2,1,0,1,1,0
208,1,1,1,3,2,1,0,1,1,1,1,1,3,1,2,1,2,2,1
209,1,1,1,3,2,1,0,1,1,3,0,1,0,0,2,0,2,2,0
210,1,1,1,3,1,2,1,2,2,3,0,1,0,0,2,0,2,2,0
211,3,0,1,0,0,2,0,2,2,2,1,1,1,2,1,0,0,1,1
212,3,0,1,0,0,2,0,2,2,3,0,1,3,2,3,1,4,2,1
213,3,0,1,0,0,2,0,2,2,2,2,0,0,2,1,3,3,2,0
214,2,1,1,1,2,1,0,0,1,3,0,1,3,2,3,1,4,2,1
215,2,1,1,1,2,1,0,0,1,2,2,0,0,2,1,3,3,2,0
216,3,0,1,3,2,3,1,4,2,2,2,0,0,2,1,3,3,2,0
217,2,2,0,0,2,1,3,3,2,1,4,1,3,2,2,0,1,2,1
218,2,2,0,0,2,1,3,3,2,2,1,1,3,2,2,3,0,2,1
219,2,2,0,0,2,1,3,3,2,3,0,1,3,2,2,0,4,2,0
220,1,4,1,3,2,2,0,1,2,2,1,1,3,2,2,3,0,2,1
221,1,4,1,3,2,2,0,1,2,3,0,1,3,2,2,0,4,2,0
222,2,1,1,3,2,2,3,0,2,3,0,1,3,2,2,0,4,2,0
223,3,0,1,3,2,2,0,4,2,1,3,0,1,0,2,0,2,1,1
224,3,0,1,3,2,2,0,4,2,2,4,1,4,2,2,2,1,1,1
225,3,0,1,3,2,2,0,4,2,1,2,0,2,0,1,1,1,1,0
226,1,3,0,1,0,2,0,2,1,2,4,1,4,2,2,2,1,1,1
227,1,3,0,1,0,2,0,2,1,1,2,0,2,0,1,1,1,1,0
228,2,4,1,4,2,2,2,1,1,1,2,0,2,0,1,1,1,1,0
229,1,2,0,2,0,1,1,1,1,2,1,0,0,3,2,2,3,2,1
230,1,2,0,2,0,1,1,1,1,1,4,1,1,2,2,0,1,2,0
231,2,1,0,0,3,2,2,3,2,1,4,1,1,2,2,0,1,2,0
232,1,4,1,1,2,2,0,1,2,3,1,1,0,2,2,0,3,2,0
233,3,1,1,0,2,2,0,3,2,2,1,1,2,2,2,0,3,2,1
234,3,1,1,0,2,2,0,3,2,1,4,1,3,2,2,3,1,2,0
235,2,1,1,2,2,2,0,3,2,1,4,1,3,2,2,3,1,2,0
236,1,4,1,3,2,2,3,1,2,1,3,2,3,3,2,0,2,2,1
237,1,4,1,3,2,2,3,1,2,1,0,1,3,2,2,0,3,2,0
238,1,3,2,3,3,2,0,2,2,1,0,1,3,2,2,0,3,2,0
239,1,0,1,3,2,2,0,3,2,3,1,1,0,2,3,0,4,2,1
240,1,0,1,3,2,2,0,3,2,1,4,1,3,2,3,0,2,2,1
241,1,0,1,3,2,2,0,3,2,0,1,0,2,2,1,1,4,2,0
242,3,1,1,0,2,3,0,4,2,1,4,1,3,2,3,0,2,2,1
243,3,1,1,0,2,3,0,4,2,0,1,0,2,2,1,1,4,2,0
244,1,4,1,3,2,3,0,2,2,0,1,0,2,2,1,1,4,2,0
245,0,1,0,2,2,1,1,4,2,0,0,1,2,2,3,3,0,2,0
246,0,0,1,2,2,3,3,0,2,2,2,1,0,1,2,2,1,2,1
247,0,0,1,2,2,3,3,0,2,1,2,1,0,0,2,3,0,2,0
248,2,2,1,0,1,2,2,1,2,1,2,1,0,0,2,3,0,2,0
249,1,2,1,0,0,2,3,0,2,0,1,0,2,0,1,2,2,2,0
250,0,1,0,2,0,1,2,2,2,2,2,0,1,0,1,0,2,1,1
251,0,1,0,2,0,1,2,2,2,2,0,1,0,2,2,3,2,2,0
252,2,2,0,1,0,1,0,2,1,2,0,1,0,2,2,3,2,2,0
253,2,0,1,0,2,2,3,2,2,0,0,1,0,1,2,1,2,2,0
254,0,0,1,0,1,2,1,2,2,2,0,1,0,1,2,1,3,2,1
255,0,0,1,0,1,2,1,2,2,1,2,1,0,2,2,2,0,1,0
256,2,0,1,0,1,2,1,3,2,1,2,1,0,2,2,2,0,1,0
257,1,2,1,0,2,2,2,0,1,2,1,0,1,2,2,1,3,2,0
258,2,1,0,1,2,2,1,3,2,3,1,1,0,2,2,3,2,2,1
259,2,1,0,1,2,2,1,3,2,2,0,2,3,2,3,3,2,2,0
260,3,1,1,0,2,2,3,2,2,2,0,2,3,2,3,3,2,2,0
261,2,0,2,3,2,3,3,2,2,1,3,1,3,0,3,0,4,2,1
262,2,0,2,3,2,3,3,2,2,3,4,1,3,2,2,1,2,2,0
263,1,3,1,3,0,3,0,4,2,3,4,1,3,2,2,1,2,2,0
264,3,4,1,3,2,2,1,2,2,2,0,2,1,0,1,0,1,1,0
265,2,0,2,1,0,1,0,1,1,1,0,0,0,2,2,0,3,2,1
266,2,0,2,1,0,1,0,1,1,0,2,1,3,2,2,0,4,2,0
267,1,0,0,0,2,2,0,3,2,0,2,1,3,2,2,0,4,2,0
268,0,2,1,3,2,2,0,4,2,3,0,1,0,2,3,1,2,1,0
269,3,0,1,0,2,3,1,2,1,1,0,1,4,0,2,0,1,2,1
270,3,0,1,0,2,3,1,2,1,1,0,1,1,2,2,1,2,1,1
271,3,0,1,0,2,3,1,2,1,2,1,2,1,0,2,1,3,2,0
272,1,0,1,4,0,2,0,1,2,1,0,1,1,2,2,1,2,1,1
273,1,0,1,4,0,2,0,1,2,2,1,2,1,0,2,1,3,2,0
274,1,0,1,1,2,2,1,2,1,2,1,2,1,0,2,1,3,2,0
275,2,1,2,1,0,2,1,3,2,3,1,1,0,2,1,1,4,2,0
276,3,1,1,0,2,1,1,4,2,1,2,1,1,2,2,0,1,2,1
277,3,1,1,0,2,1,1,4,2,2,1,1,3,2,1,0,4,2,1
278,3,1,1,0,2,1,1,4,2,3,4,1,3,2,2,3,0,2,0
279,1,2,1,1,2,2,0,1,2,2,1,1,3,2,1,0,4,2,1
280,1,2,1,1,2,2,0,1,2,3,4,1,3,2,2,3,0,2,0
281,2,1,1,3,2,1,0,4,2,3,4,1,3,2,2,3,0,2,0
282,3,4,1,3,2,2,3,0,2,1,1,1,1,2,3,0,1,1,0
283,1,1,1,1,2,3,0,1,1,1,1,1,3,0,1,2,2,1,1
284,1,1,1,1,2,3,0,1,1,3,2,1,0,2,2,0,2,2,0
285,1,1,1,3,0,1,2,2,1,3,2,1,0,2,2,0,2,2,0
286,3,2,1,0,2,2,0,2,2,1,1,1,0,2,1,1,1,2,1
287,3,2,1,0,2,2,0,2,2,0,1,1,0,2,2,1,3,2,1
288,3,2,1,0,2,2,0,2,2,1,1,2,4,3,2,1,1,1,0
289,1,1,1,0,2,1,1,1,2,0,1,1,0,2,2,1,3,2,1
290,1,1,1,0,2,1,1,1,2,1,1,2,4,3,2,1,1,1,0
291,0,1,1,0,2,2,1,3,2,1,1,2,4,3,2,1,1,1,0
292,1,1,2,4,3,2,1,1,1,0,1,1,1,2,2,0,1,2,0
293,0,1,1,1,2,2,0,1,2,3,2,1,3,2,3,3,3,2,0
294,3,2,1,3,2,3,3,3,2,2,0,1,1,0,2,0,0,2,1
295,3,2,1,3,2,3,3,3,2,1,0,1,1,2,2,1,1,1,1
296,3,2,1,3,2,3,3,3,2,1,1,1,0,2,1,0,0,2,0
297,2,0,1,1,0,2,0,0,2,1,0,1,1,2,2,1,1,1,1
298,2,0,1,1,0,2,0,0,2,1,1,1,0,2,1,0,0,2,0
299,1,0,1,1,2,2,1,1,1,1,1,1,0,2,1,0,0,2,0
300,1,1,1,0,2,1,0,0,2,2,4,1,0,2,2,0,3,2,1
301,1,1,1,0,2,1,0,0,2,2,0,1,0,2,2,0,3,2,1
302,1,1,1,0,2,1,0,0,2,1,2,1,3,2,2,0,1,2,0
303,2,4,1,0,2,2,0,3,2,2,0,1,0,2,2,0,3,2,1
304,2,4,1,0,2,2,0,3,2,1,2,1,3,2,2,0,1,2,0
305,2,0,1,0,2,2,0,3,2,1,2,1,3,2,2,0,1,2,0
306,1,2,1,3,2,2,0,1,2,2,1,1,0,2,2,3,3,2,1
307,1,2,1,3,2,2,0,1,2,2,0,1,3,2,3,0,4,2,0
308,2,1,1,0,2,2,3,3,2,2,0,1,3,2,3,0,4,2,0
309,2,0,1,3,2,3,0,4,2,1,1,1,3,2,3,1,4,2,1
310,2,0,1,3,2,3,0,4,2,3,2,1,3,1,2,3,2,2,0
311,1,1,1,3,2,3,1,4,2,3,2,1,3,1,2,3,2,2,0
312,3,2,1,3,1,2,3,2,2,3,0,2,1,2,3,0,2,2,1
313,3,2,1,3,1,2,3,2,2,2,0,1,0,2,2,2,3,2,1
314,3,2,1,3,1,2,3,2,2,3,0,1,3,2,2,1,2,2,0
315,3,0,2,1,2,3,0,2,2,2,0,1,0,2,2,2,3,2,1
316,3,0,2,1,2,3,0,2,2,3,0,1,3,2,2,1,2,2,0
317,2,0,1,0,2,2,2,3,2,3,0,1,3,2,2,1,2,2,0
318,3,0,1,3,2,2,1,2,2,3,1,1,0,2,2,2,0,2,1
319,3,0,1,3,2,2,1,2,2,3,0,0,2,0,3,3,0,2,0
320,3,1,1,0,2,2,2,0,2,3,0,0,2,0,3,3,0,2,0
321,3,0,0,2,0,3,3,0,2,1,4,1,0,2,2,0,0,2,1
322,3,0,0,2,0,3,3,0,2,0,1,0,2,2,3,0,3,2,1
323,3,0,0,2,0,3,3,0,2,2,1,0,2,2,2,1,0,2,0
324,1,4,1,0,2,2,0,0,2,0,1,0,2,2,3,0,3,2,1
325,1,4,1,0,2,2,0,0,2,2,1,0,2,2,2,1,0,2,0
326,0,1,0,2,2,3,0,3,2,2,1,0,2,2,2,1,0,2,0
327,2,1,0,2,2,2,1,0,2,3,1,2,4,2,2,3,2,2,0
328,3,1,2,4,2,2,3,2,2,2,0,0,2,2,2,0,4,2,0
329,2,0,0,2,2,2,0,4,2,2,1,1,2,0,2,1,0,1,1
330,2,0,0,2,2,2,0,4,2,3,4,1,0,2,1,0,4,2,1
331,2,0,0,2,2,2,0,4,2,2,2,1,0,0,2,3,2,2,0
332,2,1,1,2,0,2,1,0,1,3,4,1,0,2,1,0,4,2,1
333,2,1,1,2,0,2,1,0,1,2,2,1,0,0,2,3,2,2,0
334,3,4,1,0,2,1,0,4,2,2,2,1,0,0,2,3,2,2,0
335,2,2,1,0,0,2,3,2,2,2,2,1,0,0,2,0,3,2,0
336,2,2,1,0,0,2,0,3,2,1,1,1,3,2,1,1,1,1,1
337,2,2,1,0,0,2,0,3,2,2,4,1,3,0,2,0,4,2,1
338,2,2,1,0,0,2,0,3,2,2,2,1,0,0,2,3,2,1,0
339,1,1,1,3,2,1,1,1,1,2,4,1,3,0,2,0,4,2,1
340,1,1,1,3,2,1,1,1,1,2,2,1,0,0,2,3,2,1,0
341,2,4,1,3,0,2,0,4,2,2,2,1,0,0,2,3,2,1,0
342,2,2,1,0,0,2,3,2,1,1,0,1,3,2,3,0,0,2,0
343,1,0,1,3,2,3,0,0,2,1,2,0,1,0,2,0,2,1,0
344,1,2,0,1,0,2,0,2,1,1,1,0,0,0,1,0,1,1,1
345,1,2,0,1,0,2,0,2,1,2,1,1,0,2,1,0,0,2,0
346,1,1,0,0,0,1,0,1,1,2,1,1,0,2,1,0,0,2,0
