,f0,f1,f2,f3,f4,f5,f6,f7,f8,target
67,3,-2,-1,1,-1,1,0,-2,-1,0
68,1,-2,0,1,-1,-1,-1,-3,-1,0
69,0,1,0,-3,1,0,0,2,1,1
70,-1,1,1,-4,-1,0,1,0,0,1
71,-3,1,0,-1,-1,2,1,-1,0,0
72,-1,0,1,-1,-2,0,1,-2,-1,1
73,-3,0,0,2,-2,2,1,-3,-1,0
74,-2,0,-1,3,0,2,0,-1,0,0
75,3,0,0,0,1,-2,0,1,0,1
76,2,0,0,0,0,-1,-1,2,1,1
77,0,0,1,-1,0,-3,0,2,0,0
78,-1,0,0,0,-1,1,-1,1,1,1
79,-3,0,1,-1,-1,-1,0,1,0,0
80,-2,0,1,-1,0,-2,1,0,-1,0
81,3,-1,-1,1,0,0,0,-1,0,1
82,2,1,-1,1,0,1,-2,1,1,0
83,-1,2,0,0,0,1,-2,2,1,0
84,-2,-1,1,1,0,0,-1,-1,-1,0
85,0,0,-1,0,0,0,3,2,0,1
86,1,0,-1,-3,0,1,1,2,1,0
87,1,0,0,-3,0,1,-2,0,1,0
88,0,0,0,3,0,-2,1,-1,-1,1
89,-1,-1,0,2,0,0,1,-1,-1,1
90,0,1,0,3,0,-2,2,0,-1,0
91,-1,-1,0,-1,0,2,0,0,0,1
92,0,1,0,0,0,0,1,1,0,0
93,1,2,0,1,0,-2,1,1,0,0
94,0,0,0,0,0,1,-3,-1,0,1
95,1,-4,0,-3,2,1,0,0,0,1
96,1,-1,0,-2,0,1,-1,0,0,0
97,1,-4,0,-3,2,0,3,1,0,1
98,1,-1,0,-2,0,0,2,1,0,0
99,0,3,0,1,-2,0,-1,0,0,0
100,-2,-3,0,2,0,0,0,-1,0,1
101,-2,0,0,2,0,1,0,-3,0,1
102,0,-1,0,-1,0,0,0,-3,0,0
103,0,3,0,0,0,1,0,-2,0,1
104,2,2,0,-3,0,0,0,-2,0,0
105,2,-1,0,-3,0,-1,0,0,0,0
106,-2,0,0,1,0,0,1,2,1,1
107,-1,1,0,0,0,0,-2,1,1,0
108,1,1,0,-1,0,0,-3,-1,0,0
109,-1,-3,0,0,0,0,0,-2,-1,1
110,-1,-3,0,2,0,1,2,-1,-1,1
111,0,-3,0,3,0,-1,3,1,-1,0
112,0,0,0,2,0,1,2,1,0,1
113,1,0,0,3,0,-1,3,3,0,0
114,1,0,0,1,0,-2,1,2,0,0
115,0,3,0,-3,0,2,0,-2,0,1
116,2,3,0,-3,0,1,-1,-1,1,1
117,-1,4,0,0,0,0,-1,-1,0,0
118,2,0,0,0,0,-1,-1,1,1,1
119,-1,1,0,3,0,-2,-1,1,0,0
120,-3,1,0,3,0,-1,0,0,-1,0
121,2,-4,0,-1,0,2,1,-1,0,1
122,2,0,0,-1,0,2,1,-1,0,1
123,2,0,1,-2,0,0,0,-1,0,0
124,0,4,0,0,0,0,0,0,0,1
125,0,4,1,-1,0,-2,-1,0,0,0
126,0,0,1,-1,0,-2,-1,0,0,0
127,0,-1,0,0,0,1,0,3,0,0
128,1,0,-1,2,2,0,1,-2,0,0
129,-2,-3,0,-3,0,-1,-1,-2,1,0
130,1,3,1,3,0,1,-1,4,0,1
131,-1,4,0,3,-2,2,1,0,-1,0
132,-2,1,-1,0,-2,1,2,-4,-1,0
133,2,-1,0,-1,2,0,0,2,1,1
134,0,-1,1,-2,0,-1,-3,1,0,1
135,0,-1,0,-1,0,0,0,3,0,0
136,-2,0,1,-1,-2,-1,-3,-1,-1,1
137,-2,0,0,0,-2,0,0,1,-1,0
138,0,0,-1,1,0,1,3,2,0,0
139,3,0,0,-2,0,-1,-3,0,0,1
140,0,-1,0,1,1,-1,-1,-2,0,0
141,-3,-1,0,3,1,0,2,-2,0,0
142,1,1,0,-3,-1,1,0,-1,0,1
143,1,2,0,0,0,1,1,1,0,1
144,2,0,1,0,-1,0,1,0,0,0
145,0,1,0,3,1,0,1,2,0,1
146,1,-1,1,3,0,-1,1,1,0,0
147,1,-2,1,0,-1,-1,0,-1,0,0
148,0,1,-1,-1,-1,0,-1,0,0,1
149,0,2,-1,0,0,0,-1,1,0,1
150,-2,-2,-1,-1,0,-1,-1,0,0,0
151,0,1,0,1,1,0,0,1,0,1
152,-2,-3,0,0,1,-1,0,0,0,0
153,-2,-4,0,-1,0,-1,0,-1,0,0
154,1,3,0,-2,1,1,1,1,0,0
155,0,0,0,2,-1,1,-1,0,1,1
156,1,-1,0,2,-1,-1,0,1,0,1
157,0,0,0,-1,-1,1,0,-2,0,0
158,1,-1,0,0,0,-2,1,1,-1,1
159,0,0,0,-3,0,0,1,-2,-1,0
160,-1,1,0,-3,0,2,0,-3,0,0
161,-1,0,0,4,0,-2,-1,0,0,1
162,1,1,1,3,2,0,-3,2,0,1
163,-1,-1,0,1,0,-2,0,1,0,0
164,2,1,1,-1,2,2,-2,2,0,1
165,0,-1,0,-3,0,0,1,1,0,0
166,-2,-2,-1,-2,-2,-2,3,-1,0,0
167,2,-2,0,3,2,1,-1,2,1,1
168,2,1,0,2,0,2,0,2,0,1
169,0,-2,0,2,0,0,-2,0,0,0
170,0,3,0,-1,-2,1,1,0,-1,1
171,-2,0,0,-1,-2,-1,-1,-2,-1,0
172,-2,-3,0,0,0,-2,-2,-2,0,0
173,1,3,1,1,2,1,0,0,0,1
174,3,2,0,0,2,1,2,2,1,1
175,3,2,0,1,1,1,1,1,0,0
176,2,-1,-1,-1,0,0,2,2,1,1
177,2,-1,-1,0,-1,0,1,1,0,0
178,0,0,0,1,-1,0,-1,-1,-1,0
179,-2,1,0,0,-1,0,1,0,0,0
180,-1,-1,0,0,0,0,-3,2,0,1
181,2,1,0,-1,0,0,-1,1,0,0
182,3,2,0,-1,0,0,2,-1,0,0
183,-1,-1,0,0,0,1,1,0,1,1
184,-1,-1,0,1,0,0,-2,1,0,1
185,0,-2,0,1,0,0,1,0,0,0
186,0,0,0,1,0,-1,-3,1,-1,1
187,1,-1,0,1,0,-1,0,0,-1,0
188,1,-1,0,0,0,0,3,-1,0,0
189,-2,1,0,-3,2,0,0,-1,1,1
190,0,-2,1,-3,2,1,-1,-1,1,1
191,-2,-2,0,-3,0,0,0,-2,0,0
192,2,-3,1,0,0,1,-1,0,0,1
193,0,-3,0,0,-2,0,0,-1,-1,0
194,-2,0,-1,0,-2,-1,1,-1,-1,0
195,-1,3,-1,-1,-1,0,0,1,0,1
196,0,3,0,3,0,0,0,-1,0,0
197,1,0,1,4,1,0,0,-2,0,0
198,1,0,0,0,0,0,-1,2,0,1
199,-1,0,0,-3,0,0,0,3,0,1
200,-1,1,0,-3,2,0,-1,2,0,0
201,-2,0,0,-3,0,0,1,1,0,1
202,-2,1,0,-3,2,0,0,0,0,0
203,0,1,0,0,2,0,-1,-1,0,0
204,0,-1,1,1,-2,-1,-1,0,0,1
205,0,0,0,3,-1,-1,0,1,0,0
206,0,1,-1,2,1,0,1,1,0,0
207,2,-1,0,-3,-1,2,1,0,1,0
208,0,0,0,0,1,-1,-1,-1,-1,1
209,-2,1,0,3,2,-1,0,-1,-1,0
210,-2,1,0,3,1,0,1,0,0,0
211,1,-1,0,-1,-2,1,0,2,1,1
212,0,0,0,-3,-2,-1,-1,-2,0,1
213,1,-2,1,0,-2,1,-3,-1,0,0
214,-1,1,0,-2,0,-2,-1,-4,-1,1
215,0,-1,1,1,0,0,-3,-3,-1,0
216,1,-2,1,3,0,2,-2,1,0,0
217,1,-2,-1,-3,0,-1,3,2,0,1
218,0,1,-1,-3,0,-1,0,3,0,1
219,-1,2,-1,-3,0,-1,3,-1,0,0
220,-1,3,0,0,0,0,-3,1,0,1
221,-2,4,0,0,0,0,0,-3,0,0
222,-1,1,0,0,0,0,3,-4,0,0
223,2,-3,1,2,2,0,0,2,1,1
224,1,-4,0,-1,0,0,-2,3,1,1
225,2,-2,1,1,2,1,-1,3,1,0
226,-1,-1,-1,-3,-2,0,-2,1,0,1
227,0,1,0,-1,0,1,-1,1,0,0
228,1,2,1,2,2,1,1,0,0,0
229,-1,1,0,2,-3,-1,-1,-2,-1,1
230,0,-2,-1,1,-2,-1,1,0,-1,0
231,1,-3,-1,-1,1,0,2,2,0,0
232,-2,3,0,1,0,0,0,-2,0,0
233,1,0,0,-2,0,0,0,0,0,1
234,2,-3,0,-3,0,0,-3,2,0,0
235,1,-3,0,-1,0,0,-3,2,0,0
236,0,1,-1,0,-1,0,3,-1,0,1
237,0,4,0,0,0,0,3,-2,0,0
238,0,3,1,0,1,0,0,-1,0,0
239,-2,-1,0,3,0,-1,0,-1,0,1
240,0,-4,0,0,0,-1,0,1,0,1
241,1,-1,1,1,0,1,-1,-1,0,0
242,2,-3,0,-3,0,0,0,2,0,1
243,3,0,1,-2,0,2,-1,0,0,0
244,1,3,1,1,0,2,-1,-2,0,0
245,0,1,-1,0,0,-2,-2,4,0,0
246,-2,-2,0,2,1,1,1,-1,0,1
247,-1,-2,0,2,2,1,0,0,0,0
248,1,0,0,0,1,0,-1,1,0,0
249,1,1,1,-2,0,1,1,-2,0,0
250,-2,-1,0,1,0,0,2,0,1,1
251,-2,1,-1,2,-2,-1,-1,0,0,0
252,0,2,-1,1,-2,-1,-3,0,-1,0
253,2,0,0,0,1,0,2,0,0,0
254,-2,0,0,0,0,0,0,-1,0,1
255,-1,-2,0,0,-1,0,-1,2,1,0
256,1,-2,0,0,-1,0,-1,3,1,0
257,-1,1,1,-1,0,0,1,-3,-1,0
258,-1,0,-1,1,0,0,-2,1,0,1
259,0,1,-2,-2,0,-1,-2,1,0,0
260,1,1,-1,-3,0,-1,0,0,0,0
261,1,-3,1,0,2,0,3,-2,0,1
262,-1,-4,1,0,0,1,2,0,0,0
263,-2,-1,0,0,-2,1,-1,2,0,0
264,1,4,-1,2,2,1,1,1,1,0
265,1,0,2,1,-2,-1,0,-2,-1,1
266,2,-2,1,-2,-2,-1,0,-3,-1,0
267,1,-2,-1,-3,0,0,0,-1,0,0
268,-3,2,0,3,0,-1,-1,2,1,0
269,2,0,0,-4,2,1,1,1,-1,1
270,2,0,0,-1,0,1,0,0,0,1
271,1,-1,-1,-1,2,1,0,-1,-1,0
272,0,0,0,3,-2,0,-1,-1,1,1
273,-1,-1,-1,3,0,0,-1,-2,0,0
274,-1,-1,-1,0,2,0,0,-1,-1,0
275,-1,0,1,1,-2,1,0,-1,0,0
276,2,-1,0,-1,0,-1,1,3,0,1
277,1,0,0,-3,0,0,1,0,0,1
278,0,-3,0,-3,0,-1,-2,4,0,0
279,-1,1,0,-2,0,1,0,-3,0,1
280,-2,-2,0,-2,0,0,-3,1,0,0
281,-1,-3,0,0,0,-1,-3,4,0,0
282,2,3,0,2,0,-1,3,-1,1,0
283,0,0,0,-2,2,2,-2,-1,0,1
284,-2,-1,0,1,0,1,0,-1,-1,0
285,-2,-1,0,3,-2,-1,2,0,-1,0
286,2,1,0,0,0,1,-1,1,0,1
287,3,1,0,0,0,0,-1,-1,0,1
288,2,1,-1,-4,-1,0,-1,1,1,0
289,1,0,0,0,0,-1,0,-2,0,1
290,0,0,-1,-4,-1,-1,0,0,1,0
291,-1,0,-1,-4,-1,0,0,2,1,0
292,1,0,1,3,1,0,1,0,-1,0
293,-3,-1,0,-2,0,-1,-3,-2,0,0
294,1,2,0,2,2,1,3,3,0,1
295,2,2,0,2,0,1,2,2,1,1
296,2,1,0,3,0,2,3,3,0,0
297,1,0,0,0,-2,0,-1,-1,1,1
298,1,-1,0,1,-2,1,0,0,0,0
299,0,-1,0,1,0,1,1,1,-1,0
300,-1,-3,0,0,0,-1,0,-3,0,1
301,-1,1,0,0,0,-1,0,-3,0,1
302,0,-1,0,-3,0,-1,0,-1,0,0
303,0,4,0,0,0,0,0,0,0,1
304,1,2,0,-3,0,0,0,2,0,0
305,1,-2,0,-3,0,0,0,2,0,0
306,-1,1,0,3,0,0,-3,-2,0,1
307,-1,2,0,0,0,-1,0,-3,0,0
308,0,1,0,-3,0,-1,3,-1,0,0
309,1,-1,0,0,0,0,-1,0,0,1
310,-1,-2,0,0,1,1,-3,2,0,0
311,-2,-1,0,0,1,1,-2,2,0,0
312,0,2,-1,2,-1,-1,3,0,0,1
313,1,2,0,3,-1,0,1,-1,0,1
314,0,2,0,0,-1,0,2,0,0,0
315,1,0,1,1,0,1,-2,-1,0,1
316,0,0,1,-2,0,1,-1,0,0,0
317,-1,0,0,-3,0,0,1,1,0,0
318,0,-1,0,3,0,0,-1,2,0,1
319,0,0,1,1,2,-1,-2,2,0,0
320,0,1,1,-2,2,-1,-1,0,0,0
321,2,-4,-1,2,-2,1,3,0,0,1
322,3,-1,0,0,-2,0,3,-3,0,1
323,1,-1,0,0,-2,1,2,0,0,0
324,1,3,1,-2,0,-1,0,-3,0,1
325,-1,3,1,-2,0,0,-1,0,0,0
326,-2,0,0,0,0,1,-1,3,0,0
327,-1,0,-2,-2,0,0,-2,-2,0,0
328,1,1,2,2,0,0,3,-2,0,0
329,0,-1,-1,0,2,0,-1,4,1,1
330,-1,-4,-1,2,0,1,0,0,0,1
331,0,-2,-1,2,2,0,-3,2,0,0
332,-1,-3,0,2,-2,1,1,-4,-1,1
333,0,-1,0,2,0,0,-2,-2,-1,0
334,1,2,0,0,2,-1,-3,2,0,0
335,0,0,0,0,0,0,3,-1,0,0
336,1,1,0,-3,-2,1,-1,2,1,1
337,0,-2,0,-3,0,0,0,-1,0,1
338,0,0,0,0,0,0,-3,1,1,0
339,-1,-3,0,0,2,-1,1,-3,-1,1
340,-1,-1,0,3,2,-1,-2,-1,0,0
341,0,2,0,3,0,0,-3,2,1,0
342,1,2,0,-3,-2,-1,3,2,-1,0
343,0,-2,1,2,2,1,0,-2,1,0
344,0,1,0,1,0,1,0,1,0,1
345,-1,1,-1,1,-2,1,0,2,-1,0
346,-1,0,-1,0,-2,0,0,1,-1,0
347,0,0,0,-3,2,-1,-1,-2,1,1
348,1,1,0,-1,0,-1,0,-2,1,1
349,1,0,0,-2,2,0,-1,-2,1,0
350,1,1,0,2,-2,0,1,0,0,1
351,1,0,0,1,0,1,0,0,0,0
352,0,-1,0,-1,2,1,-1,0,0,0
353,-2,0,0,-1,-3,0,-2,1,-1,0
354,1,0,1,1,1,-1,3,-2,0,0
355,2,0,-1,1,0,0,0,2,1,1
356,0,-1,-1,2,0,-1,0,0,0,1
357,0,-2,-1,-1,0,0,0,2,0,0
358,-2,-1,0,1,0,-1,0,-2,-1,1
359,-2,-2,0,-2,0,0,0,0,-1,0
360,0,-1,0,-3,0,1,0,2,0,0
361,1,-1,1,2,2,0,0,0,1,1
362,2,1,0,3,2,0,0,-2,0,1
363,0,2,0,3,0,0,-1,1,0,0
364,1,2,-1,1,0,0,0,-2,-1,1
365,-1,3,-1,1,-2,0,-1,1,-1,0
366,-2,1,0,0,-2,0,-1,3,0,0
367,-1,-1,0,-3,0,0,0,-3,0,1
368,-1,1,0,0,0,0,1,-3,0,1
369,0,1,0,0,0,-1,0,-3,0,0
370,0,2,0,3,0,0,1,0,0,1
371,1,2,0,3,0,-1,0,0,0,0
372,1,0,0,0,0,-1,-1,0,0,0
373,1,-4,1,0,0,0,-2,0,0,0
374,-1,0,-2,-1,0,1,1,2,0,1
375,-2,3,-1,-3,2,1,3,3,0,0
376,-1,3,1,-2,2,0,2,1,0,0
377,1,0,0,3,-2,0,-2,0,1,1
378,2,0,0,3,0,-1,-3,-4,0,0
379,1,0,0,0,2,-1,-1,-4,-1,0
380,1,1,1,-3,-2,0,3,1,0,1
381,0,1,0,-3,-2,0,2,4,0,0
382,-1,0,-1,0,0,0,-1,3,0,0
383,-2,-1,0,1,0,2,-1,0,1,0
384,1,-2,0,1,0,-1,-1,-4,-1,0
385,-1,1,0,-1,2,0,2,3,1,1
386,0,3,0,0,2,0,0,4,1,1
387,1,-1,0,0,0,-1,3,3,0,0
388,1,2,0,1,0,0,-2,1,0,1
389,2,-2,0,1,-2,-1,1,0,-1,0
390,1,-4,0,0,-2,-1,3,-1,-1,0
391,1,4,0,1,1,1,0,-1,0,1
392,1,4,0,-2,0,2,-1,-1,1,1
393,-2,3,0,-2,0,0,0,1,0,0
394,0,0,0,-3,-1,1,-1,0,1,1
395,-3,-1,0,-3,-1,-1,0,2,0,0
396,-3,-1,0,0,0,-2,1,2,-1,0
397,1,0,0,3,0,2,-1,-2,0,1
398,1,0,0,2,0,1,-3,-2,0,1
399,2,-1,0,3,2,1,-1,-1,0,0
400,0,0,0,-1,0,-1,-2,0,0,1
401,1,-1,0,0,2,-1,0,1,0,0
402,1,-1,0,1,2,0,2,1,0,0
403,0,-2,0,-1,0,-1,1,-2,0,1
404,0,1,0,-3,-2,-1,-1,-3,1,1
405,-1,1,0,-3,-2,-1,-2,-2,0,0
406,0,3,0,-2,-2,0,-2,-1,1,1
407,-1,3,0,-2,-2,0,-3,0,0,0
408,-1,0,0,0,0,0,-1,1,-1,0
409,-1,-3,0,3,0,1,0,2,0,1
410,2,0,0,1,0,1,2,-1,0,0
411,3,3,0,-2,0,0,2,-3,0,0
412,-2,0,0,1,0,1,1,4,0,0
413,0,0,0,0,0,-2,0,-2,0,1
414,0,-1,0,-2,0,-1,0,-1,1,0
415,0,-1,0,-2,0,1,0,1,1,0
416,1,1,0,3,2,-1,-1,-1,0,1
417,0,1,0,3,1,1,0,-1,-1,0
418,-1,0,0,0,-1,2,1,0,-1,0
419,0,1,1,0,-1,0,0,2,0,0
420,1,-4,0,-1,0,-1,0,-4,0,1
421,1,-4,-2,0,0,-2,-1,-2,0,0
422,0,0,-2,1,0,-1,-1,2,0,0
423,0,4,1,0,0,0,-2,-2,0,1
424,0,3,1,-1,0,1,0,0,1,1
425,-1,3,1,-1,0,2,1,0,1,0
426,0,-1,0,-1,0,1,2,2,1,1
427,-1,-1,0,-1,0,2,3,2,1,0
428,-1,0,0,0,0,1,1,0,0,0
429,0,0,0,1,0,0,-1,2,-1,1
430,0,-1,0,1,0,-1,0,-2,-1,1
431,-1,-3,0,0,0,-1,0,-2,-1,0
432,0,-1,0,0,0,-1,1,-4,0,1
433,-1,-3,0,-1,0,-1,1,-4,0,0
434,-1,-2,0,-1,0,0,0,0,0,0
435,1,4,0,1,0,1,-1,1,0,1
436,1,4,0,0,0,1,0,3,0,1
437,0,0,0,1,0,-1,-1,2,0,0
438,0,0,0,-1,0,0,1,2,0,1
439,-1,-4,0,0,0,-2,0,1,0,0
440,-1,-4,0,1,0,-2,-1,-1,0,0
441,0,0,0,-3,0,1,1,1,0,1
442,1,3,0,-1,0,1,1,1,1,1
443,1,3,1,-1,0,0,1,0,0,1
444,1,0,0,0,0,1,0,0,0,1
445,1,3,0,0,0,0,1,0,0,0
446,1,3,0,2,0,0,0,0,1,1
447,1,3,1,2,0,-1,0,-1,0,1
448,1,0,0,3,0,0,-1,-1,0,1
449,1,3,0,3,0,-1,0,-1,0,0
450,0,0,1,0,0,-1,0,-1,-1,1
451,0,-3,0,1,0,0,-1,-1,-1,1
452,0,0,0,1,0,-1,0,-1,-1,0
453,0,-3,-1,1,0,1,-1,0,0,1
454,0,0,-1,1,0,0,0,0,0,0
455,0,3,0,0,0,-1,1,0,0,0
456,0,0,0,-1,0,1,-1,1,0,1
457,0,-1,0,-2,0,1,-1,2,1,0
458,0,-1,0,-1,0,0,0,1,1,0
459,1,1,0,-1,2,0,0,-2,0,0
460,1,0,0,0,-2,1,0,-2,-1,1
461,-2,-3,0,2,-2,1,1,1,-1,1
462,1,0,0,0,0,-1,-2,-1,0,0
463,-3,-3,0,2,0,0,1,3,0,1
464,0,0,0,0,2,-2,-2,1,1,0
465,3,3,0,-2,2,-2,-3,-2,1,0
466,-3,0,0,2,-2,2,2,3,-1,1
467,-3,0,1,1,-2,1,3,2,-1,0
468,0,0,1,-1,0,-1,1,-1,0,0
469,2,0,-1,-1,0,0,-2,-1,1,0
470,-1,1,0,3,2,-1,2,-1,-1,0
471,2,-1,1,-2,-2,1,0,2,0,1
472,-1,0,0,0,-2,3,-1,2,0,0
473,-3,1,-1,2,0,2,-1,0,0,0
474,0,0,0,-3,2,-1,1,-2,0,1
475,2,-1,0,-3,2,-2,-2,-1,1,1
476,1,-1,0,0,2,-2,-1,0,1,0
477,2,-1,0,0,0,-1,-3,1,1,1
478,1,-1,0,3,0,-1,-2,2,1,0
479,-1,0,0,3,0,0,1,1,0,0
480,1,0,0,0,0,1,1,-1,0,1
481,-1,-3,0,-1,-2,-1,2,-3,-1,1
482,0,-3,0,0,-2,1,-1,-2,-1,0
483,-2,-3,0,-1,-2,-2,1,-2,-1,1
484,-1,-3,0,0,-2,0,-2,-1,-1,0
485,1,0,0,1,0,2,-3,1,0,0
486,0,3,0,-1,0,0,0,3,0,0
487,1,0,0,1,1,0,3,0,0,1
488,-1,0,-1,0,2,-1,2,-3,0,1
489,0,0,1,-1,0,-1,3,-4,0,0
490,-2,0,-1,-1,1,-1,-1,-3,0,1
491,-1,0,1,-2,-1,-1,0,-4,0,0
492,1,0,2,-1,-2,0,1,-1,0,0
493,-1,0,-2,-2,2,0,0,1,0,1
494,1,-1,-1,-1,0,1,-1,3,1,0
495,2,-1,1,1,-2,1,-1,2,1,0
496,-1,-1,1,3,0,-1,1,-2,-1,1
497,0,1,0,1,0,0,-1,0,0,1
498,-1,-2,0,3,0,-2,-2,-3,-1,0
499,1,2,-1,-2,0,1,-2,2,1,1
500,0,-1,-1,0,0,-1,-3,-1,0,0
501,-1,-3,0,2,0,-2,-1,-3,-1,0
502,0,2,0,-1,0,1,3,1,0,0
503,0,2,0,-2,0,1,0,1,0,1
504,1,-2,0,0,0,0,0,0,0,1
505,0,1,0,-2,2,0,0,2,1,0
506,1,-4,0,2,0,-1,0,-1,0,1
507,0,-1,0,0,2,-1,0,1,1,0
508,-1,3,0,-2,2,0,0,2,1,0
509,0,-1,0,0,-2,-1,0,-1,-1,1
510,0,-3,0,2,-2,0,-2,0,0,0
511,0,-2,0,2,0,1,-2,1,1,0
512,2,4,0,-1,0,0,1,-3,-1,1
513,1,2,0,-2,0,1,-1,-2,-1,1
514,0,3,0,1,0,-1,2,-3,-1,0
515,-1,-2,0,-1,0,1,-2,1,0,1
516,-2,-1,0,2,0,-1,1,0,0,0
517,-1,1,0,3,0,-2,3,-1,0,0
518,1,1,0,-2,0,1,0,1,0,1
519,-1,0,0,-3,0,1,-2,3,0,0
520,-2,-1,0,-1,0,0,-2,2,0,0
521,1,0,1,0,2,0,1,-3,0,1
522,1,-1,0,0,0,0,0,1,1,1
523,1,0,1,0,0,0,1,-3,0,0
524,0,-1,-1,0,-2,0,-1,4,1,1
525,0,0,0,0,-2,0,0,0,0,0
526,0,1,1,0,0,0,1,-4,-1,0
527,1,0,-1,0,0,1,-1,3,0,1
528,0,-1,-1,3,0,0,-1,3,0,1
529,0,-3,-1,0,0,0,0,2,0,0
530,-1,-1,0,3,0,-1,0,0,0,1
531,-1,-3,0,0,0,-1,1,-1,0,0
532,0,-2,0,-3,0,0,1,-1,0,0
533,-1,3,0,3,2,0,1,0,0,1
534,0,3,0,3,0,0,-2,2,0,1
535,-1,1,0,2,0,-1,1,-1,0,0
536,1,0,0,0,-2,0,-3,2,0,1
537,0,-2,0,-1,-2,-1,0,-1,0,0
538,-1,-2,0,-1,0,-1,3,-3,0,0
539,1,2,1,-3,2,1,0,0,0,1
540,3,2,0,1,0,1,0,2,1,0
541,2,0,-1,4,-2,0,0,2,1,0
542,-2,0,0,-3,0,-1,0,1,-1,1
543,-1,-3,0,-3,0,0,-2,1,0,1
544,-3,0,0,-3,1,-1,0,0,-1,0
545,1,-3,0,0,0,1,-2,0,1,1
546,-1,0,0,0,1,0,0,-1,0,0
547,-2,3,0,0,1,-1,2,-1,-1,0
548,1,1,0,0,-1,2,-3,0,0,1
549,1,-1,1,2,-1,1,0,0,0,0
550,0,-2,1,2,0,-1,3,0,0,0
551,1,0,-1,-2,0,1,-2,0,1,1
552,2,1,0,-1,0,-1,-3,-3,0,0
553,1,1,1,1,0,-2,-1,-3,-1,0
554,-3,0,-1,-1,-1,0,0,0,0,1
555,-3,-3,-1,-1,0,1,3,4,0,0
556,0,-3,0,0,1,1,3,4,0,0
557,0,4,0,3,0,0,0,-4,0,1
558,1,4,0,2,0,0,0,-4,0,1
559,1,3,0,2,0,2,-1,-3,0,0
560,1,0,0,-1,0,0,0,0,0,1
561,1,-1,0,-1,0,2,-1,1,0,0
562,0,-1,0,0,0,2,-1,1,0,0
563,-1,-1,0,1,2,-2,1,1,0,1
