img_id_A,img_id_B,target
0334a,0334c,1
1267a,1267b,1
0571a,0571c,1
1442b,1442c,1
0321a,0321b,1
1165b,1165c,1
0483a,0483b,1
1391b,1391a,1
0532b,0532c,1
1484b,1484c,1
0429b,0429a,1
0510c,0510b,1
1174a,1174b,1
1547a,1547b,1
1547a,1547c,1
1547b,1547c,1
0337a,0337b,1
0337a,0337c,1
0354b,0354a,1
0354b,0354c,1
1153b,1153c,1
1552a,1552b,1
1552a,1552c,1
1552b,1552c,1
1039c,1039a,1
0560a,0560b,1
0334b,0334c,1
0597b,0597a,1
1513a,1513c,1
1374b,1374c,1
1374b,1374a,1
1374c,1374a,1
0313c,0313b,1
0319a,0319c,1
0319a,0319b,1
0319c,0319b,1
0353a,0353b,1
0353a,0353c,1
1201a,1201b,1
1551a,1551b,1
1551a,1551c,1
1551b,1551c,1
0456b,0456c,1
0456b,0456a,1
0456c,0456a,1
1123c,1123b,1
1123c,1123a,1
1146a,1146b,1
1146a,1146c,1
1146b,1146c,1
1204a,1204b,1
0492a,0492b,1
0492a,0492c,1
0492b,0492c,1
0555b,0555c,1
0555b,0555a,1
0555c,0555a,1
1335b,1335c,1
0301b,0301c,1
0594a,0594b,1
0594a,0594c,1
1497a,1497b,1
1497a,1497c,1
1497b,1497c,1
0373a,0373b,1
0373a,0373c,1
1091b,1091c,1
1091b,1091a,1
1123b,1123a,1
1521c,1521b,1
0373b,0373c,1
1431c,1431a,1
1493a,1493b,1
1508b,1508a,1
1508b,1508c,1
0431c,0431b,1
0431c,0431a,1
1365a,1365b,1
0538a,0538b,1
0538a,0538c,1
0538b,0538c,1
0445a,0445b,1
0445a,0445c,1
0445b,0445c,1
1440c,1440b,1
1450b,1450a,1
1450b,1450c,1
0363b,0363a,1
1171b,1171a,1
1426c,1426a,1
1430a,1430b,1
1430a,1430c,1
1504c,1504b,1
1504c,1504a,1
1417b,1417a,1
0451b,0451c,1
1485a,1485b,1
1485a,1485c,1
1328a,1328b,1
1328a,1328c,1
1328b,1328c,1
1465a,1465b,1
1465a,1465c,1
1465b,1465c,1
1253a,1253b,1
1253a,1253c,1
1495a,1495b,1
1495a,1495c,1
1495b,1495c,1
0551c,0551a,1
1538a,1538c,1
1538a,1538b,1
0353b,0353c,1
0380a,0380b,1
1240a,1240b,1
1240a,1240c,1
1350a,1350c,1
1421a,1421b,1
1325a,1325b,1
1325a,1325c,1
1325b,1325c,1
0440c,0440b,1
0440c,0440a,1
0587a,0587b,1
0587a,0587c,1
1221a,1221c,1
0348a,0348b,1
0348a,0348c,1
0474b,0474c,1
1405b,1405c,1
0496a,0496e,1
1409b,1409a,1
1409b,1409c,1
1533b,1533c,1
1533b,1533a,1
0340a,0340b,1
0340a,0340c,1
0340b,0340c,1
0413a,0413b,1
1368b,1368c,1
0507a,0507b,1
0507a,0507c,1
0507b,0507c,1
1546b,1546c,1
1546b,1546a,1
1546c,1546a,1
0563a,0563c,1
1450a,1450c,1
1360a,1360c,1
0923a,0923c,1
0403c,0403a,1
0471a,0471b,1
0471a,0471c,1
1367a,1367b,1
1367a,1367c,1
1099a,1099c,1
1508a,1508c,1
1319a,1319b,1
1319a,1319c,1
0327c,0327b,1
0327c,0327a,1
1178a,1178b,1
1178a,1178c,1
1178b,1178c,1
0593b,0593c,1
0457a,0457c,1
0457a,0457b,1
0421b,0421c,1
0421b,0421a,1
0521a,0521b,1
0521a,0521c,1
1477a,1477b,1
1477a,1477c,1
1477b,1477c,1
0355a,0355b,1
1499b,1499c,1
1496a,1496c,1
1140c,1140a,1
1140c,1140b,1
1086b,1086c,1
1224c,1224b,1
1286a,1286b,1
1286a,1286c,1
1286b,1286c,1
1408c,1408a,1
1408c,1408b,1
0892a,0892c,1
1240b,1240c,1
0473a,0473b,1
0473a,0473c,1
1567c,1567b,1
1208a,1208b,1
1208a,1208c,1
1208b,1208c,1
1408a,1408b,1
0351a,0351b,1
0969a,0969c,1
0969a,0969b,1
0969c,0969b,1
0405c,0405a,1
0405c,0405b,1
0368b,0368c,1
0522b,0522c,1
1194a,1194b,1
1194a,1194c,1
1194b,1194c,1
1197a,1197c,1
1197a,1197b,1
1197c,1197b,1
1303a,1303b,1
1273a,1273c,1
1294a,1294b,1
1294a,1294c,1
1294b,1294c,1
1254a,1254b,1
0421c,0421a,1
1485b,1485c,1
1409a,1409c,1
0556a,0556b,1
0556a,0556c,1
0314c,0314a,1
0587b,0587c,1
0547a,0547c,1
0927a,0927b,1
0927a,0927c,1
0927b,0927c,1
1367b,1367c,1
1430b,1430c,1
0564a,0564b,1
0564a,0564c,1
1533c,1533a,1
1196a,1196b,1
1196a,1196c,1
1196b,1196c,1
1511b,1511c,1
1501c,1501b,1
1501c,1501a,1
1504b,1504a,1
0337b,0337c,1
0546c,0546b,1
0333c,0333a,1
1212a,1212c,1
1358a,1358b,1
1358a,1358c,1
1358b,1358c,1
0457c,0457b,1
0354a,0354c,1
0516a,0516b,1
1538c,1538b,1
1091c,1091a,1
0488b,0488c,1
1447b,1447c,1
1377a,1377b,1
1377a,1377c,1
0518a,0518b,1
0518a,0518c,1
0518b,0518c,1
0521b,0521c,1
1363b,1363a,1
1363b,1363c,1
1234b,1234c,1
0950a,0950b,1
1443c,1443b,1
0324b,0324c,1
0324b,0324a,1
1155b,1155a,1
1155b,1155c,1
0348b,0348c,1
1253b,1253c,1
0405a,0405b,1
0525a,0525b,1
0525a,0525c,1
0517b,0517c,1
0517b,0517a,1
0517c,0517a,1
0537b,0537c,1
0440b,0440a,1
1394c,1394b,1
1501b,1501a,1
1377b,1377c,1
1164a,1164b,1
1036b,1036c,1
0328b,0328a,1
0535a,0535b,1
0535a,0535c,1
0535b,0535c,1
0324c,0324a,1
0390c,0390a,1
1181b,1181c,1
0327b,0327a,1
0569a,0569b,1
0315b,0315a,1
0924a,0924b,1
0924a,0924c,1
0924b,0924c,1
0350c,0350a,1
0489b,0489a,1
1155a,1155c,1
0302a,0302c,1
0302a,0302b,1
0302c,0302b,1
0471b,0471c,1
1383b,1383c,1
1323a,1323b,1
1323a,1323c,1
1323b,1323c,1
0473b,0473c,1
0357b,0357a,1
0357b,0357c,1
0311a,0311c,1
0463a,0463b,1
1259a,1259b,1
1259a,1259c,1
1259b,1259c,1
0525b,0525c,1
1191b,1191c,1
0357a,0357c,1
0434c,0434a,1
0450c,0450b,1
1152a,1152c,1
0564b,0564c,1
0585b,0585c,1
1319b,1319c,1
0323c,0323a,1
0323c,0323b,1
0385c,0385a,1
0540a,0540c,1
1363a,1363c,1
1500a,1500b,1
1271a,1271b,1
1271a,1271c,1
0469a,0469b,1
0469a,0469c,1
0469b,0469c,1
0873a,0873b,1
0431b,0431a,1
0460b,0460c,1
0347a,0347b,1
1140a,1140b,1
0375c,0375b,1
1406a,1406b,1
1406a,1406c,1
1406b,1406c,1
0911b,0911c,1
0401b,0401c,1
0376c,0376b,1
0317a,0317b,1
0317a,0317c,1
0317b,0317c,1
0387b,0387a,1
1198a,1198b,1
0549b,0549c,1
0594b,0594c,1
1271b,1271c,1
0556b,0556c,1
1414b,1414c,1
0323a,0323b,1
